"","YEAR","DATA_VALUE","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS","SPECIES"
"1",1981,5347,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"2",1983,14527,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"3",1984,615,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"4",1985,12082,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"5",1986,22094,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"6",1987,39717,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"7",1988,13120,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"8",1989,7314,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"9",1990,1460,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"10",1991,1991,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"11",1992,9038,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"12",1993,8766,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"13",1994,1268,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"14",1995,285,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"15",1996,27682,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"16",1997,15899,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"17",1998,10790,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"18",1999,14495,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"19",2000,10762,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"20",2001,1589,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"21",2003,1084,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"22",2005,176,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"23",2006,569,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"24",2007,2350,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"25",2008,228,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"26",2010,1441,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"27",2013,4106,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"28",2014,3639,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"29",2015,34363,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"30",2017,179,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"31",2018,3368,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"32",2019,14,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"33",2021,108,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"34",2023,24,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
