"","YEAR","DATA_VALUE","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS","SPECIES"
"1",1981,25029,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"2",1982,47680,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"3",1983,93911,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"4",1984,658,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"5",1985,15454,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"6",1986,1771,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"7",1987,15147,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"8",1988,938,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"9",1989,1315,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"10",1993,3232,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"11",1995,628,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"12",1996,200,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"13",1997,1402,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
"14",2018,3204,"Recreational","Socioeconomic","total_recreational_catch_n","n","SAND TIGER"
