"","YEAR","DATA_VALUE","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS","SPECIES"
"1",1981,11328,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"2",1982,15435,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"3",1983,152095,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"4",1984,2414,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"5",1985,21143,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"6",1986,112204,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"7",1987,131684,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"8",1988,214062,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"9",1989,107811,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"10",1990,54503,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"11",1991,44542,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"12",1992,99579,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"13",1993,198446,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"14",1994,61915,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"15",1995,711659,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"16",1996,346763,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"17",1997,236992,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"18",1998,131769,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"19",1999,146852,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"20",2000,94757,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"21",2001,99653,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"22",2002,6192,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"23",2003,84454,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"24",2004,87134,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"25",2005,59970,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"26",2006,85592,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"27",2007,81481,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"28",2008,12872,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"29",2009,118417,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"30",2010,25034,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"31",2011,109661,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"32",2012,34546,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"33",2013,50205,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"34",2014,194303,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"35",2015,92171,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"36",2016,33777,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"37",2017,165297,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"38",2018,362225,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"39",2019,6124,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"40",2020,7816,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"41",2021,10548,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"42",2022,13698,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"43",2023,5182,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"44",2024,54,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
