"","YEAR","DATA_VALUE","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS","SPECIES"
"1",1981,9394,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"2",1982,22537,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"3",1983,51225,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"4",1984,28791,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"5",1985,86279,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"6",1986,98922,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"7",1987,16668,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"8",1988,52681,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"9",1989,37681,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"10",1990,26562,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"11",1991,15330,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"12",1992,27325,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"13",1993,1308,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"14",1994,25356,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"15",1995,15140,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"16",1996,20398,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"17",1997,25769,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"18",1998,10599,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"19",1999,25250,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"20",2000,60574,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"21",2001,15099,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"22",2002,8341,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"23",2003,11008,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"24",2004,7275,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"25",2005,13176,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"26",2006,8399,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"27",2007,8247,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"28",2008,28538,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"29",2009,17818,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"30",2010,12450,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"31",2011,41900,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"32",2012,12566,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"33",2013,21389,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"34",2014,26950,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"35",2015,12934,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"36",2016,5950,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"37",2017,4766,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"38",2018,17532,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"39",2019,8742,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"40",2020,30412,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"41",2021,12687,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"42",2022,12281,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"43",2023,15374,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
"44",2024,10147,"Recreational","Socioeconomic","total_recreational_catch_n","n","DUSKY SHARK"
