"","YEAR","DATA_VALUE","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS","SPECIES"
"1",1989,4459,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"2",1991,8594,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"3",1992,6862,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"4",1993,26293,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"5",1995,35768,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"6",1996,33746,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"7",1997,25632,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"8",1998,7854,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"9",2009,15175,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"10",2012,11517,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"11",2013,84079,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"12",2015,89244,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"13",2016,65282,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"14",2017,34962,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"15",2018,31381,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"16",2019,26857,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"17",2020,16412,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"18",2021,22641,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"19",2022,12201,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
"20",2024,30199,"Recreational","Socioeconomic","total_recreational_catch_n","n","BLUE SHARK"
