"","Time","Value","Var","Units","Species"
"1",1986,4198,"total_recreational_catch_n","n","ATLANTIC ANGEL SHARK"
"2",1988,161,"total_recreational_catch_n","n","BIGEYE THRESHER"
"3",2014,609,"total_recreational_catch_n","n","BLACKTIP SHARK"
"4",1981,1683,"total_recreational_catch_n","n","BLUE SHARK"
"5",1983,6192,"total_recreational_catch_n","n","BLUE SHARK"
"6",1984,3000,"total_recreational_catch_n","n","BLUE SHARK"
"7",1985,4675,"total_recreational_catch_n","n","BLUE SHARK"
"8",1986,27816,"total_recreational_catch_n","n","BLUE SHARK"
"9",1987,3101,"total_recreational_catch_n","n","BLUE SHARK"
"10",1988,12464,"total_recreational_catch_n","n","BLUE SHARK"
"11",1989,4459,"total_recreational_catch_n","n","BLUE SHARK"
"12",1990,1307,"total_recreational_catch_n","n","BLUE SHARK"
"13",1991,8594,"total_recreational_catch_n","n","BLUE SHARK"
"14",1992,6862,"total_recreational_catch_n","n","BLUE SHARK"
"15",1993,26293,"total_recreational_catch_n","n","BLUE SHARK"
"16",1994,46421,"total_recreational_catch_n","n","BLUE SHARK"
"17",1995,35768,"total_recreational_catch_n","n","BLUE SHARK"
"18",1996,33746,"total_recreational_catch_n","n","BLUE SHARK"
"19",1997,25632,"total_recreational_catch_n","n","BLUE SHARK"
"20",1998,7854,"total_recreational_catch_n","n","BLUE SHARK"
"21",1999,42742,"total_recreational_catch_n","n","BLUE SHARK"
"22",2000,17313,"total_recreational_catch_n","n","BLUE SHARK"
"23",2001,1275,"total_recreational_catch_n","n","BLUE SHARK"
"24",2002,2975,"total_recreational_catch_n","n","BLUE SHARK"
"25",2003,2254,"total_recreational_catch_n","n","BLUE SHARK"
"26",2004,7786,"total_recreational_catch_n","n","BLUE SHARK"
"27",2005,9777,"total_recreational_catch_n","n","BLUE SHARK"
"28",2006,1696,"total_recreational_catch_n","n","BLUE SHARK"
"29",2007,14264,"total_recreational_catch_n","n","BLUE SHARK"
"30",2008,1420,"total_recreational_catch_n","n","BLUE SHARK"
"31",2009,15175,"total_recreational_catch_n","n","BLUE SHARK"
"32",2010,62994,"total_recreational_catch_n","n","BLUE SHARK"
"33",2011,122730,"total_recreational_catch_n","n","BLUE SHARK"
"34",2012,11517,"total_recreational_catch_n","n","BLUE SHARK"
"35",2013,84079,"total_recreational_catch_n","n","BLUE SHARK"
"36",2014,95845,"total_recreational_catch_n","n","BLUE SHARK"
"37",2015,89244,"total_recreational_catch_n","n","BLUE SHARK"
"38",2016,65282,"total_recreational_catch_n","n","BLUE SHARK"
"39",2017,34962,"total_recreational_catch_n","n","BLUE SHARK"
"40",2018,31381,"total_recreational_catch_n","n","BLUE SHARK"
"41",2019,26857,"total_recreational_catch_n","n","BLUE SHARK"
"42",2020,16412,"total_recreational_catch_n","n","BLUE SHARK"
"43",2021,22641,"total_recreational_catch_n","n","BLUE SHARK"
"44",2022,12201,"total_recreational_catch_n","n","BLUE SHARK"
"45",2023,7781,"total_recreational_catch_n","n","BLUE SHARK"
"46",2024,30199,"total_recreational_catch_n","n","BLUE SHARK"
"47",1988,289,"total_recreational_catch_n","n","DUSKY SHARK"
"48",1991,297,"total_recreational_catch_n","n","DUSKY SHARK"
"49",1992,111,"total_recreational_catch_n","n","DUSKY SHARK"
"50",2015,348,"total_recreational_catch_n","n","DUSKY SHARK"
"51",2021,2221,"total_recreational_catch_n","n","DUSKY SHARK"
"52",2022,9919,"total_recreational_catch_n","n","DUSKY SHARK"
"53",2023,1799,"total_recreational_catch_n","n","DUSKY SHARK"
"54",2024,1382,"total_recreational_catch_n","n","DUSKY SHARK"
"55",1981,1639,"total_recreational_catch_n","n","NURSE SHARK"
"56",1994,301,"total_recreational_catch_n","n","PORBEAGLE"
"57",2011,32,"total_recreational_catch_n","n","PORBEAGLE"
"58",2016,7149,"total_recreational_catch_n","n","PORBEAGLE"
"59",2017,2188,"total_recreational_catch_n","n","PORBEAGLE"
"60",2018,4,"total_recreational_catch_n","n","PORBEAGLE"
"61",2019,1159,"total_recreational_catch_n","n","PORBEAGLE"
"62",2020,1171,"total_recreational_catch_n","n","PORBEAGLE"
"63",2021,8111,"total_recreational_catch_n","n","PORBEAGLE"
"64",2022,2878,"total_recreational_catch_n","n","PORBEAGLE"
